string_id	form_key	editor_id	source	target	provenance
0x00000001	036A44:Skyrim.esm	ClothesRobesGreybeardTunic	Greybeard's Robes	灰鬍子的袍服	Skyrim Traditional Chinese 8.20 exact FormID seed
0x00000003	036A45:Skyrim.esm	ClothesRobesGreybeardHood	Greybeard's Hood	灰鬍子的兜帽	Skyrim Traditional Chinese 8.20 exact FormID seed
0x00000005	036A46:Skyrim.esm	ClothesRobesGreybeardBoots	Greybeard's Boots	灰鬍子的靴子	Skyrim Traditional Chinese 8.20 exact FormID seed
0x00000007	06F398:Skyrim.esm	ArmorBanditBoots	Fur Boots	毛皮鞋子	Skyrim Traditional Chinese 8.20 exact FormID seed
0x00000009	0AD5A0:Skyrim.esm	ArmorStormcloakCuirassSleeves	Stormcloak Cuirass - Variant	風暴斗篷護甲	Skyrim Traditional Chinese 8.20 exact FormID seed
0x0000000B	0C0165:Skyrim.esm	ArmorTsunCuirass	Tsun's Armor	蘇恩的護甲	Skyrim Traditional Chinese 8.20 exact FormID seed
0x0000000D	0C0166:Skyrim.esm	ArmorTsunBoots	Tsun's Boots	蘇恩的靴子	Skyrim Traditional Chinese 8.20 exact FormID seed
0x0000000F	0D3EAB:Skyrim.esm	ArmorPenitusGauntlets	Penitus Oculatus Bracers	內察使護腕	Skyrim Traditional Chinese 8.20 exact FormID seed
0x00000011	0E35E7:Skyrim.esm	ArmorThievesGuildKarliahBoots	Karliah's Boots	卡萊雅的靴子	Skyrim Traditional Chinese 8.20 exact FormID seed
0x00000013	0E35E8:Skyrim.esm	ArmorThievesGuildKarliahCuirass	Karliah's Armor	卡萊雅的護甲	Skyrim Traditional Chinese 8.20 exact FormID seed
0x00000015	0E35E9:Skyrim.esm	ArmorThievesGuildKarliahGauntlets	Karliah's Gloves	卡萊雅的手套	Skyrim Traditional Chinese 8.20 exact FormID seed
0x00000017	0E35EA:Skyrim.esm	ArmorThievesGuildKarliahHelmet	Karliah's Hood	卡萊雅的兜帽	Skyrim Traditional Chinese 8.20 exact FormID seed
0x00000019	000800:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorImperialLightThighBoots	Imperial Light Thigh Boots	帝國輕型過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x0000001B	000802:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorImperialHeavyThighBoots	Imperial Thigh Boots	帝國過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x0000001D	000805:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorDaedricThighBoots	Daedric Thigh Boots	魔族過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x0000001F	000807:Remodeled Armor - Vanilla Replacer.esp	CT77DBArmorThighBoots	Shrouded Thigh Boots	影蔽過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000021	000808:Remodeled Armor - Vanilla Replacer.esp	CT77DBArmorThighBootsSP	Ancient Shrouded Thigh Boots	古代影蔽過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000023	00080A:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorDraugrThighBoots	Ancient Nord Thigh Boots	古諾德過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000025	00080C:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorNightingaleThighBootsPlayer01	Nightingale Thigh Boots	夜鶯過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000027	00080D:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorNightingaleThighBootsPlayer02	Nightingale Thigh Boots	夜鶯過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000029	00080E:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorNightingaleThighBootsPlayer03	Nightingale Thigh Boots	夜鶯過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x0000002B	000810:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorCompanionsThighBoots	Wolf Thigh Boots	狼族過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x0000002D	000814:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorStormcloakThighBoots	Guard Thigh Boots	衛兵過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x0000002F	000831:Remodeled Armor - Vanilla Replacer.esp	CT77DLC2ArmorChitinHeavyThighBoots	Chitin Heavy Thigh Boots	硬殼重型過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000031	000833:Remodeled Armor - Vanilla Replacer.esp	CT77DLC2ArmorNordicHeavyThighBoots	Nordic Carved Thigh Boots	諾德鍛雕過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000033	000835:Remodeled Armor - Vanilla Replacer.esp	CT77DLC2ArmorStalhrimHeavyThighBoots	Stalhrim Thigh Boots	剛冰石重型過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000035	000837:Remodeled Armor - Vanilla Replacer.esp	CT77DLC1ArmorFalmerHardenedThighBoots	Falmer Hardened Thigh Boots	法莫強化過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000037	000838:Remodeled Armor - Vanilla Replacer.esp	CT77DLC1ArmorFalmerHeavyThighBoots	Falmer Heavy Thigh Boots	法莫重型過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000039	00083A:Remodeled Armor - Vanilla Replacer.esp	CT77DLC1ArmorVampireThighBoots	Vampire Thigh Boots	吸血鬼過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x0000003B	00084B:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorBikini02	Leather Bikini	革製比基尼	CT77 custom; Skyrim 8.20 terminology
0x0000003D	00084F:Remodeled Armor - Vanilla Replacer.esp	CT77DA02Armor	Ebony Mail - Unenchanted	玄曜石鏈甲（未附魔）	CT77 custom; Skyrim 8.20 terminology
0x0000003F	000854:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorHideThighBoots	Hide Light Thigh Boots	皮製輕型過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000041	000857:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorBikini01	Bandit Bikini	強盜比基尼	CT77 custom; Skyrim 8.20 terminology
0x00000043	00085B:Remodeled Armor - Vanilla Replacer.esp	CT77ClothesNocturnal	Nocturnal Robes	娜克圖諾袍服	CT77 custom; Skyrim 8.20 terminology
0x00000045	00085D:Remodeled Armor - Vanilla Replacer.esp	CT77SorceressGloves	Sorceress Gloves - Black	女術士手套（黑色）	CT77 custom; Skyrim 8.20 terminology
0x00000047	00085F:Remodeled Armor - Vanilla Replacer.esp	CT77SorceressBoots	Sorceress Boots - Black	女術士靴子（黑色）	CT77 custom; Skyrim 8.20 terminology
0x00000049	000861:Remodeled Armor - Vanilla Replacer.esp	CT77SorceressBootsBrown	Sorceress Boots - Brown	女術士靴子（棕色）	CT77 custom; Skyrim 8.20 terminology
0x0000004B	000863:Remodeled Armor - Vanilla Replacer.esp	CT77SorceressGlovesBrown	Sorceress Gloves - Brown	女術士手套（棕色）	CT77 custom; Skyrim 8.20 terminology
0x0000004D	000864:Remodeled Armor - Vanilla Replacer.esp	CT77ClothesNocturnalTrans	Nocturnal Robes - Transparent	娜克圖諾袍服（透明）	CT77 custom; Skyrim 8.20 terminology
0x0000004F	000866:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorTsunBracers	Tsun's Bracers	蘇恩的護腕	CT77 custom; Skyrim 8.20 terminology
0x00000051	000869:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorBladesThighBoots	Blades Thigh Boots	刀鋒衛士過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000053	00086B:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorDragonplateThighBoots	Dragonplate Thigh Boots	龍骨過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000055	00086D:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorDragonscaleThighBoots	Dragonscale Thigh Boots	龍鱗過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000057	00086F:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorEbonyThighBoots	Ebony Thigh Boots	玄曜石過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000059	000871:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorEbonyMailThighBoots	Ebony Mail Thigh Boots	玄曜石鏈甲過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x0000005B	000873:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorElvenThighBoots	Elven Thigh Boots	精靈過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x0000005D	000875:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorBanditThighBoots	Fur Thigh Boots	毛皮過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x0000005F	000877:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorGlassThighBoots	Glass Thigh Boots	翠琉璃過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000061	000879:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorScaledThighBoots	Hide Heavy Thigh Boots	皮製重型過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000063	00087B:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorOrcishThighBoots	Orcish Thigh Boots	獸人過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000065	00087D:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorSteelThighBootsA	Steel Thigh Boots	鋼製過膝長靴	CT77 custom; Skyrim 8.20 terminology
