$FF_ResetHorseDo	正在設定隨從馬匹
$FF_ResetHorseDone	隨從馬匹設定完成
$FF_WarnInSlots	隨從已在框架中
$FF_WarnTooMany	你的隨從已達最大數量
$FF_WarnInvalid	這名隨從不在框架中
$FF_WarnImport	沒有可供加入隨從的空欄位
$FF_AllDisStart	正在解散隨從...
$FF_AllDisEnd	隨從已解散
$FF_AllRemoveStart	移除隨從...
$FF_AllRemoveEnd	隨從已移除
$FF_AllWaiting	所有隨從在等待
$FF_AllFollow	所有隨從在跟隨
$FF_SortingStart	整理隨從欄位...
$FF_SortingEnd	隨從欄位整理完畢
$FF_FlushStart	重新整理隨從欄位...
$FF_FlushEnd	欄位已重新整理
$FF_HomeStart	正在更新據點
$FF_HomeEnd	據點更新完成
$FF_StartTasks	(NFF) 正在執行啟動任務...
$FF_ResetRequired	重置任務和解散隨從是必需的...
$FF_AddBasesSlots	調整據點
$FF_EndTasks	(NFF) 啟動任務完成。
$FF_StartRefreshWpn	正在重新整理武器...
$FF_EndRefreshWpn	武器重新整理完成。
$FF_StartHorses	應用馬匹變更...
$FF_ConvertedOutfits	裝備系統準備完畢
$FF_EndHorses	變更完畢。
$FF_NoSpell	沒有裝備法術。
$FF_StartRelax	隨從正在放鬆
$FF_EndRelax	隨從不再放鬆
$FF_FrameworkReady	隨從框架就緒。
$FF_WarnSellMagic	隨從無法出售附魔物品。
$FF_WarnOutfitItem	你不能把這個用在裝備上。
$FF_ClearedAlias	找到別名。清除...
$FF_ResetDefaults	清除派系和重置預設值...
$FF_ReturnSale	將未售出的物品返還給玩家...
$FF_FollowersAttacking	隨從正在攻擊
$FF_FollowersRetreating	隨從正在撤退
$FF_FollowersRetreatingCancel	隨從停止撤退
$FF_FollowersNoTarget	所有隨從攻擊：無目標
$FF_FollowersRetreat	撤退/安撫 所有隨從
$FF_FollowersRetreatCancel	停止撤退 所有隨從
$FF_FolBaseRemove	隨從被移出據點
$FF_FolAssignBase	隨從被分配到據點
$FF_FolBaseRemSel	從據點移除
$FF_OutfitMax	已達使用裝備數量上限。
$FF_OutfitMovedPlayer	裝備物品被轉移到你的物品欄中
$FF_OutfitMovedPChest	裝備物品被移到了玩家的箱子
$FF_SatchelMoved	背包物品被轉移到你的物品欄中
$FF_ExtraMovedPChest	物品被移到玩家的箱子
$FF_SlotGameFill	遊戲欄位現在已被佔用
$FF_SlotGameClear	遊戲欄位現在已被清除
$FF_ExitMCMMsg	請退出MCM選單以完成。
$FF_ResetMainStart	開始框架重置。請稍等...
$FF_ResetRemove	...隨從已移除。
$FF_ResetDFQuest	...隨從任務重新開始。
$FF_ResetMainEnd	框架重置完成。
$FF_ResetMainEnd2	推薦：儲存然後載入你儲存的遊戲。
$FF_RestartQuest	重新開始隨從任務...
$FF_HomeSet	據點設定
$FF_WorkSet	工作地點設定
$FF_RelaxSet	放鬆地點設定
$FF_RangeSetClose	隨從設定為近距離
